ProjectID,ClientID,BusinessUnitID,ProjectName,ProjectType,Fixed_Price_Amount,PlannedStartDate,PlannedEndDate,PlannedExpense,EstimatedBudget,PlannedHours,ProjectStatus,created_at
1,1003,1001,Front-line scalable synergy,Time & Materials,379397.27,,,,,,Complete,2020-01-15 01:52:22.889220
2,1008,1002,Balanced systemic firmware,Fixed-Price,79273.22,,,,,,Complete,2020-02-11 11:11:29.988607
3,1007,1002,Monitored 24/7 system engine,Fixed-Price,418106.64,,,,,,Complete,2020-05-10 16:14:48.749377
4,1003,1005,Virtual regional website,Time & Materials,417749.99,,,,,,Complete,2020-07-08 19:36:54.916490
5,1002,1005,Innovative content-based interface,Fixed-Price,487854.75,,,,,,Complete,2020-08-02 02:54:37.995389
6,1013,1001,Digitized optimizing benchmark,Fixed-Price,433011.5,,,,,,Complete,2020-08-17 02:28:10.387717
7,1000,1001,Proactive holistic data-warehouse,Time & Materials,211771.02,,,,,,Complete,2020-08-28 12:53:41.419585
8,1006,1002,Horizontal static installation,Time & Materials,426191.05,,,,,,Complete,2020-09-07 23:08:22.342006
9,1016,1005,Automated bottom-line generative AI,Time & Materials,436285.74,,,,,,Complete,2020-10-13 16:24:08.305422
10,1000,1005,Configurable regional monitoring,Time & Materials,100038.87,,,,,,Complete,2020-10-30 11:51:30.045096
11,1006,1005,Future-proofed zero trust hub,Fixed-Price,256611.09,,,,,,Complete,2020-11-19 20:22:55.288590
12,1013,1002,Reverse-engineered composite capability,Fixed-Price,123919.61,,,,,,Complete,2021-03-17 06:12:44.117519
13,1014,1005,Public-key content-based hardware,Time & Materials,65089.6,,,,,,Complete,2021-05-06 19:29:11.825925
14,1008,1001,Grass-roots coherent neural-net,Fixed-Price,309329.76,,,,,,Complete,2021-06-01 02:57:37.364078
15,1005,1004,Grass-roots optimizing capacity,Fixed-Price,437803.53,,,,,,Complete,2021-06-29 02:52:45.825510
16,1010,1003,Versatile encompassing local area network,Time & Materials,172465.31,,,,,,Complete,2021-09-24 17:56:08.975924
17,1004,1002,Persistent leading edge software,Fixed-Price,363839.12,,,,,,Complete,2021-10-21 12:17:29.976167
18,1010,1001,Quality-focused cloud-native frame,Fixed-Price,441544.49,,,,,,Complete,2021-11-01 02:22:33.724787
19,1002,1004,Proactive secondary solution,Fixed-Price,183338.65,,,,,,Complete,2021-11-01 17:51:18.780690
20,1003,1003,Face to face executive artificial intelligence,Time & Materials,323481.56,,,,,,Complete,2021-11-09 17:25:09.322857
21,1011,1005,Public-key neutral intranet,Time & Materials,328375.12,,,,,,Complete,2021-12-01 06:59:33.065577
22,1008,1001,AI-driven incremental strategy,Time & Materials,371339.12,,,,,,Complete,2022-01-12 04:59:28.320672
23,1014,1005,Adaptive cloud-native installation,Fixed-Price,171387.33,,,,,,Complete,2022-03-01 18:02:04.662443
24,1003,1004,Balanced disintermediate intranet,Time & Materials,269980.96,,,,,,Complete,2022-03-03 12:21:25.291087
25,1002,1005,Networked sustainable help-desk,Fixed-Price,220903.6,,,,,,Complete,2022-04-05 11:47:05.265561
26,1009,1005,Customer-focused bottom-line support,Fixed-Price,199850.86,,,,,,Complete,2022-06-04 04:44:16.640712
27,1011,1005,Devolved discrete circuit,Time & Materials,221280.48,,,,,,Complete,2022-07-07 09:51:23.558989
28,1006,1001,Automated data-driven firmware,Time & Materials,252403.09,,,,,,Complete,2022-09-08 12:23:37.166275
29,1001,1002,Future-proofed intangible neural-net,Fixed-Price,381810.68,,,,,,Complete,2022-09-15 00:14:00.486178
30,1009,1001,Digitized zero tolerance parallelism,Time & Materials,347616.77,,,,,,Complete,2022-10-04 09:34:05.403190
31,1007,1001,Grass-roots fault-tolerant complexity,Fixed-Price,467637.64,,,,,,Complete,2022-10-10 13:01:45.549235
32,1012,1003,Total intangible attitude,Time & Materials,69428.18,,,,,,Complete,2022-10-18 04:11:40.986597
33,1014,1003,Open-architected client-driven circuit,Time & Materials,336331.11,,,,,,Complete,2022-10-23 13:52:04.855179
34,1005,1003,Sharable fresh-thinking matrices,Fixed-Price,457896.85,,,,,,Complete,2022-12-05 12:45:51.439065
35,1011,1002,Streamlined composite capacity,Fixed-Price,432777.23,,,,,,Complete,2022-12-10 00:43:30.950194
36,1008,1001,Cross-platform bottom-line analyzer,Fixed-Price,272395.6,,,,,,Complete,2023-01-03 17:50:05.903616
37,1019,1002,Streamlined real-time intranet,Fixed-Price,164476.21,,,,,,Complete,2023-02-25 14:16:00.803349
38,1017,1002,Reactive transitional service-desk,Fixed-Price,336380.62,,,,,,Complete,2023-03-11 01:40:52.887108
39,1005,1004,Smart asynchronous protocol,Fixed-Price,317147.36,,,,,,Complete,2023-03-12 15:28:24.757416
40,1012,1003,Centralized logistical internet solution,Fixed-Price,309739.95,,,,,,Complete,2023-03-12 22:48:18.714342
41,1017,1002,Intuitive exuding solution,Time & Materials,420090.07,,,,,,Complete,2023-03-14 07:00:24.530877
42,1010,1001,Total optimizing alliance,Time & Materials,53988.48,,,,,,Complete,2023-05-11 18:10:45.888090
43,1007,1001,Multi-tiered systemic conglomeration,Fixed-Price,398296.12,,,,,,Complete,2023-11-11 14:55:55.088289
44,1010,1004,Open-architected responsive array,Fixed-Price,330086.14,,,,,,Complete,2023-12-26 02:18:09.921751
45,1008,1001,Self-enabling national contingency,Fixed-Price,482282.14,,,,,,Complete,2024-02-09 16:48:49.844342
46,1006,1005,Reverse-engineered discrete application,Fixed-Price,54067.31,,,,,,Complete,2024-02-16 06:42:56.301755
47,1010,1002,Centralized asynchronous interface,Fixed-Price,452342.44,,,,,,Complete,2024-02-29 12:42:29.150953
48,1015,1004,Team-oriented incremental flexibility,Time & Materials,352716.35,,,,,,Complete,2024-05-27 08:20:09.966072
49,1014,1002,Automated interactive alliance,Fixed-Price,170840.19,,,,,,Complete,2024-07-14 03:16:56.869213
50,1008,1002,Innovative 24 hour instruction set,Time & Materials,367983.44,,,,,,Complete,2024-07-24 07:18:21.564744
51,1007,1005,Virtual logistical hub,Time & Materials,313002.01,,,,,,Complete,2024-08-21 13:16:40.195577
52,1017,1003,Customizable content-based local area network,Time & Materials,96155.58,,,,,,Complete,2024-09-13 17:46:20.681363
53,1018,1004,Networked heuristic architecture,Time & Materials,327335.22,,,,,,Complete,2024-09-28 16:53:46.217970
54,1018,1004,Virtual contextually-based approach,Time & Materials,267795.22,,,,,,Complete,2024-10-23 02:54:43.923775
55,1011,1002,Focused systemic firmware,Fixed-Price,450684.28,,,,,,Complete,2024-10-23 06:44:53.172838
56,1004,1005,Self-enabling composite knowledge base,Time & Materials,154408.18,,,,,,Complete,2024-12-03 20:48:57.981432
57,1015,1001,Front-line leading edge frame,Fixed-Price,152993.96,,,,,,Complete,2024-12-04 07:14:45.334108
58,1001,1001,Fundamental optimal instruction set,Fixed-Price,353297.39,,,,,,Complete,2024-12-31 13:19:50.931130
59,1004,1002,Customer-focused optimal system engine,Time & Materials,173138.19,,,,,,Complete,2025-01-02 11:50:54.059887
60,1013,1005,Intuitive data-driven collaboration,Fixed-Price,92199.44,,,,,,Complete,2025-01-22 13:36:19.688216
61,1002,1004,Upgradable mobile instruction set,Fixed-Price,325158.63,,,,,,Complete,2025-02-11 12:58:16.761860
62,1012,1005,Universal exuding open architecture,Time & Materials,244055.24,,,,,,Complete,2025-03-17 13:59:48.556137
63,1014,1005,Innovative high-level parallelism,Fixed-Price,120565.72,,,,,,Complete,2025-03-30 09:25:02.430300
64,1008,1005,Triple-buffered national focus group,Time & Materials,173857.63,,,,,,Complete,2025-05-22 01:53:23.264837
65,1000,1001,Robust tertiary collaboration,Time & Materials,353227.5,,,,,,Complete,2025-06-28 03:46:03.052403
66,1017,1003,Fully-configurable homogeneous portal,Time & Materials,183120.84,,,,,,Complete,2025-08-23 10:54:19.796208
67,1010,1001,Persistent context-sensitive parallelism,Fixed-Price,378022.64,,,,,,Complete,2025-08-23 11:42:23.948386
68,1009,1004,Devolved value-added hub,Fixed-Price,390314.21,,,,,,Complete,2025-10-07 21:17:33.577940
69,1005,1004,Managed responsive migration,Fixed-Price,107070.81,,,,,,Complete,2025-10-26 01:13:58.916038
70,1000,1003,Robust zero defect installation,Fixed-Price,419219.41,,,,,,Complete,2025-11-09 23:11:09.563670
71,1016,1002,Distributed intangible functionalities,Time & Materials,496631.58,,,,,,Complete,2026-01-01 11:39:41.797706
