ProjectID,ProjectName,ProjectType,Status,BusinessUnit,ActualHours,PlannedHours,PctComplete
37,Streamlined real-time intranet,Fixed-Price,Complete,Healthcare,9068.1,4566.95,198.6
7,Proactive holistic data-warehouse,Time & Materials,Complete,Retail,8278.92,4384.75,188.8
15,Grass-roots optimizing capacity,Fixed-Price,Complete,Energy,8592.9,4559.63,188.5
87,User-friendly bifurcated array,Time & Materials,Complete,Government,10274.82,5636.96,182.3
50,Innovative 24 hour instruction set,Time & Materials,Complete,Healthcare,8026.92,4529.05,177.2
124,User-centric empowering initiative,Time & Materials,Complete,Government,8230.74,4652.57,176.9
1,Front-line scalable synergy,Time & Materials,Complete,Retail,8080.44,4640.39,174.1
40,Centralized logistical internet solution,Fixed-Price,Complete,Media & Entertainment,9174.06,5286.15,173.5
48,Team-oriented incremental flexibility,Time & Materials,Complete,Energy,8808.24,5184.75,169.9
55,Focused systemic firmware,Fixed-Price,Complete,Healthcare,9362.7,5702.04,164.2
122,Public-key impactful customer loyalty,Time & Materials,Complete,Energy,7772.22,4789.41,162.3
46,Reverse-engineered discrete application,Fixed-Price,Complete,Government,8539.74,5330.73,160.2
94,Profit-focused incremental project,Time & Materials,Complete,Energy,9194.58,5756.97,159.7
121,Team-oriented zero defect access,Fixed-Price,Complete,Healthcare,7946.64,5100.39,155.8
119,Diverse motivating parallelism,Time & Materials,Complete,Government,8082.54,5206.57,155.2
25,Networked sustainable help-desk,Fixed-Price,Complete,Government,8508.6,5505.29,154.6
13,Public-key content-based hardware,Time & Materials,Complete,Government,8289.6,5410.72,153.2
19,Proactive secondary solution,Fixed-Price,Complete,Energy,8563.62,5607.48,152.7
43,Multi-tiered systemic conglomeration,Fixed-Price,Complete,Retail,8187.96,5363.13,152.7
113,Innovative holistic conglomeration,Fixed-Price,Complete,Energy,8092.02,5395.42,150.0
24,Balanced disintermediate intranet,Time & Materials,Complete,Energy,7956.42,5370.16,148.2
34,Sharable fresh-thinking matrices,Fixed-Price,Complete,Media & Entertainment,8087.16,5530.08,146.2
125,Front-line discrete workforce,Time & Materials,In Progress,Retail,6040.26,4153.54,145.4
36,Cross-platform bottom-line analyzer,Fixed-Price,Complete,Retail,7861.08,5424.95,144.9
91,Profit-focused secondary leverage,Fixed-Price,Complete,Healthcare,8299.44,5773.16,143.8
8,Horizontal static installation,Time & Materials,Complete,Healthcare,8525.28,5939.46,143.5
18,Quality-focused cloud-native frame,Fixed-Price,Complete,Retail,7770.6,5415.09,143.5
16,Versatile encompassing local area network,Time & Materials,Complete,Media & Entertainment,8878.86,6201.01,143.2
123,Visionary resilient parallelism,Time & Materials,Complete,Retail,7586.34,5304.73,143.0
82,Polarised zero tolerance implementation,Time & Materials,Complete,Healthcare,8004.48,5633.06,142.1
53,Networked heuristic architecture,Time & Materials,Complete,Energy,7172.94,5062.89,141.7
103,Phased context-sensitive knowledge base,Time & Materials,Complete,Media & Entertainment,7889.46,5616.15,140.5
26,Customer-focused bottom-line support,Fixed-Price,Complete,Government,6665.88,4843.15,137.6
112,Devolved encompassing capability,Fixed-Price,Complete,Energy,7967.82,5844.04,136.3
67,Persistent context-sensitive parallelism,Fixed-Price,Complete,Retail,7660.92,5636.53,135.9
71,Distributed intangible functionalities,Time & Materials,Complete,Healthcare,8031.54,5926.13,135.5
76,Intuitive value-added hierarchy,Fixed-Price,Complete,Government,6178.2,4560.18,135.5
86,Customer-focused bifurcated standardization,Fixed-Price,Complete,Healthcare,7713.96,5694.4,135.5
33,Open-architected client-driven circuit,Time & Materials,Complete,Media & Entertainment,7025.1,5222.15,134.5
95,Configurable local productivity,Fixed-Price,Complete,Healthcare,7479.9,5575.61,134.2
89,Seamless cohesive open architecture,Time & Materials,Complete,Government,7365.84,5503.03,133.9
41,Intuitive exuding solution,Time & Materials,Complete,Healthcare,6707.28,5012.69,133.8
22,AI-driven incremental strategy,Time & Materials,Complete,Retail,7597.62,5684.97,133.6
96,Innovative coherent paradigm,Fixed-Price,Complete,Retail,6626.88,5007.25,132.3
29,Future-proofed intangible neural-net,Fixed-Price,Complete,Healthcare,7325.22,5544.91,132.1
74,Future-proofed tertiary customer loyalty,Time & Materials,Complete,Healthcare,7114.44,5447.38,130.6
57,Front-line leading edge frame,Fixed-Price,Complete,Retail,6948.0,5398.14,128.7
81,Total stable process improvement,Time & Materials,Complete,Healthcare,7148.16,5592.41,127.8
114,Expanded 24 hour algorithm,Fixed-Price,Complete,Energy,7323.42,5793.63,126.4
99,Open-source methodical productivity,Time & Materials,Complete,Government,7308.48,5821.84,125.5
97,Optimized incremental orchestration,Fixed-Price,Complete,Retail,6642.84,5362.02,123.9
73,Distributed bottom-line concept,Fixed-Price,Complete,Government,6807.42,5544.35,122.8
12,Reverse-engineered composite capability,Fixed-Price,Complete,Healthcare,6740.52,5559.16,121.3
5,Innovative content-based interface,Fixed-Price,Complete,Government,6449.22,5387.66,119.7
32,Total intangible attitude,Time & Materials,Complete,Media & Entertainment,6986.94,5871.57,119.0
